#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  
1.29E+01,1.28E+01,1.33E+01,1.34E+01,1.33E+01,1.30E+01,1.36E+01,1.34E+01,1.36E+01,1.38E+01
1.28E+01,1.36E+01,1.36E+01,1.33E+01,1.36E+01,1.39E+01,1.40E+01,1.41E+01,1.40E+01,1.46E+01
1.33E+01,1.33E+01,1.38E+01,1.41E+01,1.40E+01,1.43E+01,1.48E+01,1.48E+01,1.46E+01,1.49E+01
1.28E+01,1.35E+01,1.42E+01,1.45E+01,1.46E+01,1.48E+01,1.58E+01,1.57E+01,1.59E+01,1.61E+01
1.30E+01,1.39E+01,1.42E+01,1.53E+01,1.61E+01,1.60E+01,1.62E+01,1.70E+01,1.71E+01,1.80E+01
1.33E+01,1.42E+01,1.48E+01,1.54E+01,1.70E+01,1.76E+01,1.72E+01,1.80E+01,1.78E+01,2.01E+01
1.40E+01,1.54E+01,1.58E+01,1.69E+01,1.84E+01,1.90E+01,2.01E+01,2.12E+01,2.03E+01,2.07E+01
1.45E+01,1.55E+01,1.67E+01,1.95E+01,2.20E+01,2.16E+01,2.45E+01,2.40E+01,2.65E+01,2.99E+01
1.48E+01,1.72E+01,2.10E+01,1.93E+01,2.37E+01,3.26E+01,2.73E+01,3.28E+01,3.28E+01,3.05E+01
1.51E+01,2.28E+01,2.65E+01,2.73E+01,2.71E+01,3.67E+01,3.80E+01,4.27E+01,4.26E+01,4.88E+01
